,AcrylicFiber,Acrylonitrile,Aluminum,Ammonia,Aniline,Automotive (US),Beer (Japan),Benzene,BisphenolA,Caprolactam,CarbonBlack,CarbonDisulfide,CCGT Power,Concentrating Solar,Corn (US),Crude Oil,Cyclohexane,DNA Sequencing,DRAM,Electric Range,Ethanol (Brazil),Ethanolamine,Ethylene,Formaldehyde,Free Standing Gas Range,Geothermal Electricity,Hard Disk Drive,HydrofluoricAcid,IsopropylAlcohol,Laser Diode,Low Density Polyethylene,Magnesium,MaleicAnhydride,Methanol,Milk (US),Monochrome Television,Motor Gasoline,NeopreneRubber,Nuclear Electricity,Onshore Gas Pipeline,Paraxylene,Pentaerythritol,Phenol,Photovoltaics,PhthalicAnhydride,PolyesterFiber,PolyethyleneHD,PolyethyleneLD,Polypropylene,Polystyrene,Polyvinylchloride,Primary Aluminum,Primary Magnesium,Refined Cane Sugar,Sodium,SodiumChlorate,SodiumHydrosulfite,Sorbitol,Styrene,Titanium Sponge,Titanium Dioxide,Transistor,Urea,VinylAcetate,VinylChloride,Wind Turbine (Denmark),integrated_circuit_memory_transistors_per_die,integrated_circuit_microprocessor_transistors_per_die,02A_magnetic_memory_tape_mbits_per_$,02A_magnetic_memory_tape_mbits_per_cc,02B_magnetic_memory_harddisk_mbits_per_$,02B_magnetic_memory_harddisk_mbits_per_cc,02C_magnetic_memory_tape_harddisk_mbits_per_$,02C_magnetic_memory_tape_harddisk_mbits_per_cc,optical_memory_per_$,optical_memory_per_cc,electrical_info_transmission_kbps_per_$,electrical_info_transmission_kbps,optical_telcom_bandwidth_kbps_per_$_km,optical_telecom_bandwidth_kbps,Wireless_Telecomunication_coverage_bps_per_m2,Wireless_Telecomunication_spectral_efficiency_bps_per_hz,Wireless_Telecomunication_throughput_kbps,computation_electronic_CPS,electronic_computation_mips_per_$,electronic_computation_mips,camera_sensitivity_mv_micro_sqm,MRI_mm_sec_$_resolution_cost,MRI_mm_sec_resolution,CTscan_mm_scantime_resolution,Genome_sequencing_base_pairs,batteries_wh_$,batteries_wh_kg_energy_density,batteries_wh_lit_energy_density,capacitors_kwhr_$,capacitors_kwhr_kg,capacitors_kwhr_lit,Flywheel_kwh_kg,AC_electricity_transmission_powered_distance_per_cost_wkm_$,AC_electricity_transmission_powered_distance_wkm,DC_electricity_transmission_powered_distance_per_cost_wkm_$,DC_electricity_transmission_powered_distance_wkm,combustion_air_piston_engine_w_per_$,combustion_air_piston_engine_w_per_kg,combustion_air_piston_engine_w_per_lit,combustion_air_turbine_engine_w_per_$,combustion_air_turbine_engine_w_per_kg,combustion_air_turbine_engine_w_per_lit,combustion_pass_car_engine_w_per_$,combustion_pass_car_engine_w_per_kg,combustion_pass_car_piston_engine_w_per_lit,electricmotor_w_per_kg_11.14.2013,electricmotor_w_per_lit_11.14.2013,solar_PV_Wpeak_$,solar_PV_kwh_module$2011,wind_turbine_W_$,FuelCell_kW_$,Artificial_Illumination_Incandescent_1000lumenhrs_per_$,Artificial_Illumination_LED_lumen_$,Artificial_Illumination_LED_lumen_lamp,aeroplane_transport_pass_mile_hr,Milling_yearlyaverage_hp.accuracy,3dprintingSLA_speed_buildvolume_layerthickness_cost,3dprintingSLA_speed_buildvolume_layerthickness_machinesize_cost,3dprintingSLA_speed_layerthickness_cost,3dprintingSLA_speed_layerthickness,photolithography_arealthroughput_accuracy_cost,photolithography_arealthroughput_accuracy,photolithography_arealthroughput_cost,superconductivity_critical_temperature
1858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000468078,5.55556e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008535898,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.49713542,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,,
1883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010836584308625921,,,,,,,,,,,,
1884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,
1889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,732000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,2700000.0,,,,,160.0,,,,,,,18.5,40.64,,,,,,,,,,,,,,,,,
1891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,,,,,,,,,,,,,,,,,,,,,,,,,
1892.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
