Name,Units,Source,Type,n,Start,Stop
AcrylicFiber,1966 USD/lbs,Farmer_Lafond,Price,13.0,1960.0,1972.0
Acrylonitrile,1966 USD/lbs,Farmer_Lafond,Price,14.0,1959.0,1972.0
Aluminum,1966 USD/lbs,Farmer_Lafond,Price,17.0,1956.0,1972.0
Ammonia,1966 USD/lbs,Farmer_Lafond,Price,13.0,1960.0,1972.0
Aniline,1966 USD/lbs,Farmer_Lafond,Price,12.0,1961.0,1972.0
Automotive (US),Gallons/Mile,Farmer_Lafond,Performance,21.0,1985.0,2005.0
Beer (Japan),1955 Yen,Farmer_Lafond,Price,18.0,1951.0,1968.0
Benzene,1958 USD,Farmer_Lafond,Price,17.0,1952.0,1968.0
BisphenolA,1966 USD/lbs,Farmer_Lafond,Price,14.0,1959.0,1972.0
Caprolactam,1966 USD/lbs,Farmer_Lafond,Price,11.0,1962.0,1972.0
CarbonBlack,1966 USD/lbs,Farmer_Lafond,Price,9.0,1964.0,1972.0
CarbonDisulfide,1966 USD/lbs,Farmer_Lafond,Price,10.0,1963.0,1972.0
CCGT Power,1990 USD/kW,Farmer_Lafond,Price,10.0,1987.0,1996.0
Concentrating Solar,US cents/kWh,Farmer_Lafond,Price,26.0,1980.0,2005.0
Corn (US),acres/1000 bushels,Farmer_Lafond,Price,34.0,1975.0,2008.0
Crude Oil,1958 USD,Farmer_Lafond,Price,23.0,1946.0,1968.0
Cyclohexane,1966 USD/lbs,Farmer_Lafond,Price,17.0,1956.0,1972.0
DNA Sequencing,2013 USD/human-size genome,Farmer_Lafond,Price,13.0,2001.0,2013.0
DRAM,2005 USD/thousand bits,Farmer_Lafond,Price,37.0,1971.0,2007.0
Electric Range,1958 USD,Farmer_Lafond,Price,22.0,1946.0,1967.0
Ethanol (Brazil),2002 USD/GJ,Farmer_Lafond,Price,25.0,1980.0,2004.0
Ethanolamine,1966 USD/lbs,Farmer_Lafond,Price,18.0,1955.0,1972.0
Ethylene,1966 USD/lbs,Farmer_Lafond,Price,13.0,1960.0,1972.0
Formaldehyde,1966 USD/lbs,Farmer_Lafond,Price,11.0,1962.0,1972.0
Free Standing Gas Range,1958 USD,Farmer_Lafond,Price,22.0,1946.0,1967.0
Geothermal Electricity,2005 US cents/kWh,Farmer_Lafond,Price,26.0,1980.0,2005.0
Hard Disk Drive,2005 USD/megabyte,Farmer_Lafond,Price,20.0,1988.0,2007.0
HydrofluoricAcid,1966 USD/lbs,Farmer_Lafond,Price,11.0,1962.0,1972.0
IsopropylAlcohol,1966 USD/lbs,Farmer_Lafond,Price,9.0,1964.0,1972.0
Laser Diode,Yen,Farmer_Lafond,Price,13.0,1982.0,1994.0
Low Density Polyethylene,1958 USD/pound,Farmer_Lafond,Price,17.0,1952.0,1968.0
Magnesium,1966 USD/lbs,Farmer_Lafond,Price,19.0,1954.0,1972.0
MaleicAnhydride,1966 USD/lbs,Farmer_Lafond,Price,14.0,1959.0,1972.0
Methanol,1966 USD/lbs,Farmer_Lafond,Price,16.0,1957.0,1972.0
Milk (US),Heads/Mil.lbs,Farmer_Lafond,Performance,65.0,1930.0,2008.0
Monochrome Television,1958 USD per unit,Farmer_Lafond,Price,22.0,1947.0,1968.0
Motor Gasoline,1958 USD/Gallon,Farmer_Lafond,Price,23.0,1946.0,1968.0
NeopreneRubber,1966 USD/lbs,Farmer_Lafond,Price,13.0,1960.0,1972.0
Nuclear Electricity,2004 USD/Watt,Farmer_Lafond,Price,20.0,1970.0,1989.0
Onshore Gas Pipeline,dollar/mile-inch,Farmer_Lafond,Price,14.0,1979.0,1992.0
Paraxylene,1958 USD,Farmer_Lafond,Price,12.0,1957.0,1968.0
Pentaerythritol,1966 USD/lbs,Farmer_Lafond,Price,21.0,1952.0,1972.0
Phenol,1966 USD/lbs,Farmer_Lafond,Price,14.0,1959.0,1972.0
Photovoltaics,2013 USD/Wp,Farmer_Lafond,Price,34.0,1980.0,2013.0
PhthalicAnhydride,1966 USD/lbs,Farmer_Lafond,Price,18.0,1955.0,1972.0
PolyesterFiber,1966 USD/lbs,Farmer_Lafond,Price,13.0,1960.0,1972.0
PolyethyleneHD,1966 USD/lbs,Farmer_Lafond,Price,15.0,1958.0,1972.0
PolyethyleneLD,1966 USD/lbs,Farmer_Lafond,Price,15.0,1958.0,1972.0
